<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=13 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,2.01@@2.01,?,128000.0,4096.0,✓,✗,92.37 ± 0.57 / 96.16 ± 0.29@@92.37,48.47 ± 1.01 / 31.59 ± 2.94@@48.47,32.50 ± 2.55 / 63.72 ± 1.76@@32.50,75.96 ± 1.45 / 59.77 ± 1.72@@75.96,65.24 ± 0.33 / 13.75 ± 0.39@@65.24,31.31 ± 1.19 / 48.26 ± 0.96@@31.31,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf</a>,🧠,2.01@@2.01,68976653312.0,32000.0,4096.0,✓,✗,93.51 ± 0.47 / 96.74 ± 0.24@@93.51,57.04 ± 2.09 / 43.05 ± 3.42@@57.04,28.34 ± 3.12 / 62.46 ± 1.94@@28.34,76.05 ± 0.99 / 58.75 ± 1.69@@76.05,65.64 ± 0.60 / 14.92 ± 0.57@@65.64,22.12 ± 1.15 / 39.66 ± 1.01@@22.12,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.02@@2.02,14765947904.0,151665.0,131072.0,✓,✗,91.64 ± 0.52 / 95.80 ± 0.26@@91.64,64.06 ± 1.41 / 40.50 ± 2.34@@64.06,26.42 ± 1.95 / 62.48 ± 1.22@@26.42,66.33 ± 1.19 / 50.58 ± 1.37@@66.33,63.46 ± 0.15 / 9.46 ± 0.31@@63.46,41.97 ± 1.12 / 56.42 ± 0.84@@41.97,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#minimal (zero-shot, val)</a>",🤔,2.04@@2.04,?,100256.0,272000.0,✓,✗,89.74 ± 1.19 / 94.71 ± 0.61@@89.74,49.66 ± 2.70 / 21.02 ± 1.61@@49.66,26.88 ± 4.02 / 60.10 ± 2.16@@26.88,63.84 ± 0.71 / 43.35 ± 0.84@@63.84,63.00 ± 0.11 / 7.59 ± 0.18@@63.00,65.33 ± 1.70 / 74.18 ± 1.28@@65.33,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Thinking'>Qwen/Qwen3-Next-80B-A3B-Thinking</a>,🤔,2.04@@2.04,81324862720.0,151936.0,262144.0,✓,✗,89.86 ± 0.81 / 94.83 ± 0.43@@89.86,66.62 ± 1.91 / 43.71 ± 2.35@@66.62,21.12 ± 1.22 / 47.21 ± 1.46@@21.12,60.93 ± 0.84 / 49.18 ± 0.82@@60.93,61.49 ± 0.13 / 7.57 ± 0.12@@61.49,62.91 ± 0.73 / 72.22 ± 0.56@@62.91,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"xai/grok-3-mini-beta#high (zero-shot, val)</a>",🤔,2.06@@2.06,?,?,131072.0,✓,✗,88.72 ± 1.44 / 94.16 ± 0.75@@88.72,42.46 ± 2.06 / 30.92 ± 1.75@@42.46,30.53 ± 3.03 / 65.09 ± 1.50@@30.53,64.14 ± 0.60 / 45.01 ± 0.97@@64.14,63.07 ± 0.14 / 7.47 ± 0.16@@63.07,63.78 ± 1.88 / 72.93 ± 1.37@@63.78,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2.dev0@@150702
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,2.09@@2.09,?,200019.0,128000.0,✓,✗,87.00 ± 1.21 / 93.21 ± 0.63@@87.00,45.54 ± 2.30 / 18.91 ± 1.17@@45.54,28.04 ± 2.05 / 61.59 ± 1.02@@28.04,60.77 ± 0.81 / 37.79 ± 1.03@@60.77,63.48 ± 0.11 / 8.10 ± 0.16@@63.48,64.89 ± 1.21 / 73.71 ± 0.93@@64.89,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/RekaAI/reka-flash-3'>RekaAI/reka-flash-3</a>,🤔,2.11@@2.11,20905482240.0,100352.0,32768.0,✓,✗,90.14 ± 0.68 / 94.99 ± 0.36@@90.14,59.16 ± 1.85 / 30.89 ± 1.41@@59.16,27.15 ± 1.86 / 63.41 ± 0.91@@27.15,64.30 ± 1.02 / 50.54 ± 1.21@@64.30,62.51 ± 0.07 / 7.29 ± 0.12@@62.51,41.31 ± 1.34 / 56.00 ± 0.97@@41.31,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.12@@2.12,?,256128.0,1048576.0,✓,✗,90.07 ± 1.13 / 94.86 ± 0.60@@90.07,53.06 ± 1.97 / 23.60 ± 1.59@@53.06,24.93 ± 3.74 / 59.97 ± 1.90@@24.93,57.60 ± 0.54 / 37.26 ± 1.06@@57.60,63.31 ± 0.09 / 8.17 ± 0.18@@63.31,57.57 ± 2.44 / 67.89 ± 1.80@@57.57,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#no-thinking (zero-shot, val)</a>",📝,2.12@@2.12,?,256128.0,1048576.0,✓,✗,90.07 ± 1.13 / 94.86 ± 0.60@@90.07,53.06 ± 1.97 / 23.60 ± 1.59@@53.06,24.93 ± 3.74 / 59.97 ± 1.90@@24.93,57.60 ± 0.54 / 37.26 ± 1.06@@57.60,63.31 ± 0.09 / 8.17 ± 0.18@@63.31,57.57 ± 2.44 / 67.89 ± 1.80@@57.57,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100
<a href='https://hf.co/Qwen/QwQ-32B'>Qwen/QwQ-32B</a>,🤔,2.12@@2.12,32763876352.0,152064.0,40960.0,✓,✗,90.21 ± 0.86 / 95.04 ± 0.45@@90.21,54.45 ± 4.36 / 35.70 ± 2.91@@54.45,29.28 ± 1.35 / 59.09 ± 1.63@@29.28,65.54 ± 0.52 / 52.26 ± 0.94@@65.54,62.14 ± 0.06 / 6.60 ± 0.07@@62.14,44.24 ± 9.67 / 58.01 ± 6.96@@44.24,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.12@@2.12,8190735360.0,151936.0,40960.0,✓,✗,89.80 ± 0.83 / 94.81 ± 0.45@@89.80,56.61 ± 1.46 / 35.31 ± 2.18@@56.61,29.34 ± 1.41 / 64.45 ± 0.75@@29.34,68.81 ± 1.07 / 53.86 ± 1.00@@68.81,63.15 ± 0.10 / 8.42 ± 0.21@@63.15,30.26 ± 1.39 / 47.31 ± 1.01@@30.26,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/LumiOpen/Llama-Poro-2-8B-base'>LumiOpen/Llama-Poro-2-8B-base</a>,🧠,2.12@@2.12,?,128256.0,8192.0,✓,✗,93.74 ± 0.48 / 96.86 ± 0.24@@93.74,53.35 ± 1.98 / 32.05 ± 2.53@@53.35,28.43 ± 4.86 / 60.93 ± 5.80@@28.43,74.17 ± 1.26 / 56.81 ± 2.50@@74.17,63.22 ± 2.04 / 11.97 ± 1.32@@63.22,23.20 ± 1.84 / 41.73 ± 1.58@@23.20,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,2.13@@2.13,?,?,200000.0,✓,✗,92.47 ± 1.45 / 96.20 ± 0.73@@92.47,46.49 ± 2.14 / 25.76 ± 1.04@@46.49,25.94 ± 3.64 / 62.68 ± 1.91@@25.94,60.02 ± 0.71 / 30.50 ± 1.33@@60.02,63.25 ± 0.09 / 8.26 ± 0.18@@63.25,58.33 ± 2.47 / 68.98 ± 1.95@@58.33,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://platform.openai.com/docs/models/o3-mini'>o3-mini-2025-01-31 (zero-shot, val)</a>",🤔,2.13@@2.13,?,?,200000.0,✓,✗,89.60 ± 1.40 / 94.63 ± 0.72@@89.60,46.00 ± 1.66 / 35.49 ± 1.77@@46.00,31.09 ± 2.46 / 65.42 ± 1.21@@31.09,63.61 ± 0.80 / 47.55 ± 0.91@@63.61,62.55 ± 0.11 / 6.80 ± 0.18@@62.55,50.68 ± 2.07 / 62.23 ± 1.53@@50.68,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B'>deepseek-ai/DeepSeek-R1-Distill-Llama-70B</a>,🤔,2.14@@2.14,70553706496.0,128256.0,131072.0,✓,✗,91.11 ± 0.56 / 95.49 ± 0.30@@91.11,54.69 ± 2.15 / 35.33 ± 1.44@@54.69,26.47 ± 2.36 / 63.00 ± 1.16@@26.47,58.16 ± 1.73 / 37.64 ± 2.38@@58.16,62.95 ± 0.25 / 7.94 ± 0.29@@62.95,48.19 ± 1.80 / 60.49 ± 1.53@@48.19,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/LumiOpen/Llama-Poro-2-8B-SFT'>LumiOpen/Llama-Poro-2-8B-SFT</a>,📝,2.14@@2.14,8030261248.0,128256.0,8192.0,✓,✗,93.13 ± 0.59 / 96.55 ± 0.30@@93.13,54.38 ± 1.13 / 37.76 ± 1.63@@54.38,23.90 ± 2.27 / 60.42 ± 1.69@@23.90,64.85 ± 2.19 / 50.02 ± 2.47@@64.85,65.18 ± 0.22 / 12.92 ± 0.44@@65.18,34.88 ± 1.12 / 50.91 ± 0.83@@34.88,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (zero-shot, val)</a>",📝,2.15@@2.15,?,256128.0,1048576.0,✓,✗,88.72 ± 1.44 / 94.16 ± 0.75@@88.72,41.67 ± 1.81 / 23.30 ± 0.94@@41.67,31.88 ± 2.83 / 64.95 ± 1.43@@31.88,55.13 ± 0.67 / 34.98 ± 0.95@@55.13,63.80 ± 0.14 / 9.73 ± 0.21@@63.80,62.84 ± 2.40 / 72.30 ± 1.82@@62.84,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,2.15@@2.15,8190735360.0,151936.0,40960.0,✓,✗,89.51 ± 0.91 / 94.67 ± 0.47@@89.51,57.97 ± 2.04 / 37.37 ± 1.26@@57.97,25.94 ± 1.56 / 62.59 ± 0.79@@25.94,65.03 ± 0.82 / 50.70 ± 1.16@@65.03,62.66 ± 0.07 / 7.50 ± 0.11@@62.66,37.16 ± 0.84 / 52.87 ± 0.60@@37.16,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.8.2@@150802
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.15@@2.15,7849978192.0,262400.0,?,✓,✗,90.62 ± 0.96 / 95.22 ± 0.52@@90.62,58.88 ± 1.10 / 32.21 ± 3.54@@58.88,17.34 ± 1.35 / 53.25 ± 1.20@@17.34,65.29 ± 0.58 / 45.60 ± 1.65@@65.29,63.43 ± 0.07 / 8.92 ± 0.15@@63.43,45.87 ± 1.02 / 59.21 ± 0.80@@45.87,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.16@@2.16,21511953984.0,201088.0,131072.0,✓,✗,90.25 ± 0.65 / 95.06 ± 0.33@@90.25,55.77 ± 1.75 / 38.28 ± 1.09@@55.77,28.81 ± 1.18 / 61.21 ± 0.93@@28.81,62.65 ± 0.36 / 46.13 ± 0.96@@62.65,61.51 ± 0.07 / 6.29 ± 0.06@@61.51,41.09 ± 1.48 / 55.78 ± 1.13@@41.09,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,2.20@@2.20,110468824832.0,151552.0,131072.0,✓,✗,90.54 ± 1.61 / 95.18 ± 0.91@@90.54,58.67 ± 1.35 / 48.70 ± 1.85@@58.67,41.61 ± 1.57 / 70.03 ± 1.00@@41.61,27.38 ± 1.40 / 0.03 ± 0.02@@27.38,63.89 ± 0.18 / 11.86 ± 0.48@@63.89,49.55 ± 1.09 / 60.84 ± 0.92@@49.55,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/RekaAI/reka-flash-3.1'>RekaAI/reka-flash-3.1</a>,🤔,2.20@@2.20,20905482240.0,100352.0,98304.0,✓,✗,90.11 ± 0.84 / 94.96 ± 0.44@@90.11,57.38 ± 2.67 / 35.93 ± 2.59@@57.38,27.05 ± 1.96 / 62.78 ± 1.07@@27.05,55.81 ± 1.12 / 46.58 ± 1.32@@55.81,61.90 ± 0.18 / 7.19 ± 0.13@@61.90,43.64 ± 1.13 / 57.47 ± 0.82@@43.64,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,2.20@@2.20,10731524096.0,32000.0,4096.0,✓,✗,91.41 ± 0.67 / 95.66 ± 0.35@@91.41,60.16 ± 1.85 / 41.47 ± 3.37@@60.16,18.67 ± 1.99 / 54.20 ± 3.14@@18.67,75.92 ± 0.74 / 59.75 ± 1.73@@75.92,63.15 ± 0.25 / 11.48 ± 0.38@@63.15,21.39 ± 1.22 / 40.43 ± 0.99@@21.39,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.20@@2.20,21511953984.0,201088.0,131072.0,✓,✗,89.80 ± 0.66 / 94.86 ± 0.34@@89.80,58.06 ± 1.71 / 40.35 ± 1.42@@58.06,27.08 ± 0.72 / 59.55 ± 0.71@@27.08,61.76 ± 0.46 / 45.98 ± 1.04@@61.76,61.81 ± 0.08 / 6.56 ± 0.08@@61.81,37.19 ± 1.29 / 52.75 ± 0.97@@37.19,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/LumiOpen/Llama-Poro-2-8B-Instruct'>LumiOpen/Llama-Poro-2-8B-Instruct</a>,📝,2.20@@2.20,8030261248.0,128256.0,8192.0,✓,✗,93.36 ± 0.57 / 96.67 ± 0.29@@93.36,48.34 ± 0.89 / 32.96 ± 1.17@@48.34,29.30 ± 2.09 / 62.75 ± 1.68@@29.30,60.79 ± 2.20 / 43.37 ± 2.51@@60.79,64.46 ± 0.16 / 11.14 ± 0.35@@64.46,32.96 ± 1.28 / 49.09 ± 0.95@@32.96,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.22@@2.22,4022468096.0,151936.0,262144.0,✓,✗,88.77 ± 0.64 / 94.33 ± 0.33@@88.77,67.09 ± 2.06 / 45.19 ± 1.79@@67.09,15.61 ± 1.82 / 50.20 ± 2.35@@15.61,63.08 ± 2.20 / 48.20 ± 2.81@@63.08,62.31 ± 0.19 / 8.42 ± 0.23@@62.31,33.77 ± 1.32 / 50.33 ± 1.04@@33.77,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,2.23@@2.23,32207337984.0,100352.0,131072.0,✓,✗,92.45 ± 0.47 / 96.21 ± 0.24@@92.45,57.69 ± 2.18 / 40.19 ± 3.22@@57.69,3.76 ± 1.80 / 34.01 ± 0.62@@3.76,68.82 ± 1.38 / 54.10 ± 1.39@@68.82,63.78 ± 0.24 / 10.11 ± 0.52@@63.78,49.23 ± 1.16 / 61.36 ± 1.04@@49.23,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.23@@2.23,9152319488.0,128000.0,4096.0,✓,✗,90.01 ± 0.48 / 94.89 ± 0.27@@90.01,45.83 ± 1.97 / 29.04 ± 2.49@@45.83,20.02 ± 4.46 / 52.44 ± 5.80@@20.02,77.33 ± 0.80 / 61.14 ± 0.92@@77.33,64.85 ± 0.19 / 12.70 ± 0.33@@64.85,24.58 ± 1.01 / 42.56 ± 0.75@@24.58,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.24@@2.24,70599864480.0,131072.0,65536.0,✗,✗,92.75 ± 0.44 / 96.35 ± 0.22@@92.75,43.54 ± 1.50 / 19.06 ± 0.81@@43.54,21.46 ± 1.90 / 51.68 ± 2.17@@21.46,63.55 ± 1.12 / 45.52 ± 1.16@@63.55,63.57 ± 0.14 / 9.21 ± 0.31@@63.57,42.72 ± 0.73 / 56.45 ± 0.60@@42.72,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/mistralai/Mixtral-8x7B-v0.1'>mistralai/Mixtral-8x7B-v0.1</a>,🧠,2.24@@2.24,46702792704.0,32000.0,32768.0,✓,✗,91.73 ± 0.71 / 95.80 ± 0.38@@91.73,58.40 ± 2.12 / 31.68 ± 3.93@@58.40,20.68 ± 2.33 / 57.75 ± 2.43@@20.68,72.27 ± 1.53 / 56.91 ± 1.67@@72.27,63.64 ± 0.53 / 11.58 ± 0.36@@63.64,16.14 ± 1.45 / 36.59 ± 1.12@@16.14,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.25@@2.25,8030261248.0,128256.0,131072.0,✓,✗,91.30 ± 0.50 / 95.65 ± 0.25@@91.30,49.42 ± 1.43 / 26.46 ± 1.12@@49.42,21.71 ± 2.50 / 60.31 ± 1.55@@21.71,66.11 ± 1.31 / 49.89 ± 1.46@@66.11,64.11 ± 0.11 / 10.61 ± 0.25@@64.11,27.00 ± 1.51 / 45.17 ± 1.12@@27.00,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/01-ai/Yi-1.5-34B'>01-ai/Yi-1.5-34B</a>,🧠,2.26@@2.26,34388917248.0,64000.0,4096.0,✓,✗,91.73 ± 0.44 / 95.84 ± 0.23@@91.73,57.64 ± 1.24 / 43.09 ± 2.57@@57.64,13.66 ± 7.11 / 45.34 ± 7.21@@13.66,75.98 ± 0.80 / 59.62 ± 1.16@@75.98,63.65 ± 0.79 / 11.50 ± 0.65@@63.65,16.76 ± 1.44 / 36.59 ± 1.22@@16.76,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://hf.co/google/gemma-3n-E4B'>google/gemma-3n-E4B</a>,🧠,2.28@@2.28,7849978192.0,262400.0,?,✓,✗,93.19 ± 0.45 / 96.58 ± 0.23@@93.19,44.54 ± 3.26 / 34.39 ± 2.11@@44.54,13.50 ± 4.74 / 46.89 ± 6.17@@13.50,75.84 ± 0.98 / 58.70 ± 1.70@@75.84,64.91 ± 0.69 / 13.48 ± 0.59@@64.91,26.17 ± 1.59 / 43.10 ± 1.54@@26.17,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.28@@2.28,?,?,1047576.0,✓,✗,87.59 ± 1.16 / 93.69 ± 0.61@@87.59,42.19 ± 1.88 / 24.51 ± 1.24@@42.19,29.04 ± 1.77 / 60.59 ± 1.53@@29.04,57.21 ± 0.80 / 28.06 ± 1.35@@57.21,63.28 ± 0.12 / 7.69 ± 0.14@@63.28,42.60 ± 1.92 / 56.84 ± 1.38@@42.60,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024</a>,📝,2.28@@2.28,32296476672.0,256000.0,131072.0,✗,✗,90.99 ± 0.73 / 95.45 ± 0.38@@90.99,62.28 ± 2.04 / 33.08 ± 2.33@@62.28,15.29 ± 1.86 / 56.30 ± 1.27@@15.29,68.52 ± 0.69 / 51.24 ± 1.12@@68.52,63.47 ± 0.16 / 9.69 ± 0.39@@63.47,16.36 ± 0.66 / 36.41 ± 0.44@@16.36,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#thinking</a>,🤔,2.30@@2.30,110468824832.0,151552.0,131072.0,✓,✗,90.53 ± 0.80 / 95.21 ± 0.41@@90.53,63.11 ± 1.67 / 44.00 ± 1.90@@63.11,35.50 ± 1.39 / 67.52 ± 0.70@@35.50,26.51 ± 0.49 / 0.00 ± 0.00@@26.51,61.81 ± 0.10 / 7.53 ± 0.10@@61.81,44.03 ± 1.09 / 57.93 ± 0.82@@44.03,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/microsoft/phi-4'>microsoft/phi-4</a>,📝,2.31@@2.31,14659507200.0,100352.0,16384.0,✓,✗,92.07 ± 0.62 / 95.99 ± 0.32@@92.07,59.21 ± 1.88 / 37.37 ± 2.70@@59.21,33.19 ± 2.38 / 65.10 ± 1.42@@33.19,31.90 ± 1.09 / 0.14 ± 0.06@@31.90,62.63 ± 0.04 / 7.74 ± 0.09@@62.63,37.82 ± 1.39 / 52.78 ± 1.00@@37.82,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,2.31@@2.31,22637328384.0,128000.0,4096.0,✓,✗,92.25 ± 0.42 / 96.10 ± 0.22@@92.25,46.97 ± 1.50 / 23.97 ± 0.95@@46.97,11.63 ± 3.40 / 40.07 ± 3.07@@11.63,66.69 ± 2.22 / 52.16 ± 2.38@@66.69,63.49 ± 0.12 / 8.92 ± 0.22@@63.49,44.38 ± 1.10 / 57.25 ± 0.92@@44.38,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
