<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=15 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.90@@2.90,N/A,3849090048.0,131072.0,8192.0,✓,✗,41.37 ± 2.13 / 54.24 ± 2.06@@41.37,45.67 ± 1.94 / 29.46 ± 1.19@@45.67,13.84 ± 2.66 / 46.61 ± 2.11@@13.84,77.34 ± 1.01 / 54.30 ± 1.39@@77.34,23.77 ± 1.43 / 25.61 ± 1.63@@23.77,5.92 ± 1.82 / 31.67 ± 1.49@@5.92,17.63 ± 3.74 / 58.71 ± 1.90@@17.63,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,2.93@@2.93,1.9,32003216384.0,102400.0,131072.0,✗,✗,43.85 ± 1.73 / 59.62 ± 1.03@@43.85,40.62 ± 2.13 / 20.71 ± 0.63@@40.62,4.45 ± 1.73 / 48.31 ± 1.08@@4.45,69.18 ± 0.80 / 45.90 ± 0.78@@69.18,28.93 ± 0.16 / 31.71 ± 0.19@@28.93,13.85 ± 1.70 / 31.67 ± 1.11@@13.85,3.01 ± 3.52 / 50.66 ± 1.70@@3.01,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,2.93@@2.93,2.89,?,?,?,✓,✗,41.06 ± 3.04 / 54.15 ± 3.54@@41.06,37.84 ± 2.05 / 19.93 ± 1.30@@37.84,17.45 ± 2.66 / 53.05 ± 3.43@@17.45,60.81 ± 1.18 / 32.85 ± 1.84@@60.81,29.36 ± 0.15 / 33.06 ± 0.16@@29.36,7.41 ± 2.06 / 29.60 ± 1.34@@7.41,13.27 ± 1.46 / 56.57 ± 0.68@@13.27,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.93@@2.93,?,?,?,?,✓,✗,49.15 ± 2.29 / 63.30 ± 1.59@@49.15,37.53 ± 1.70 / 18.50 ± 0.97@@37.53,11.86 ± 2.28 / 53.78 ± 1.95@@11.86,63.80 ± 1.29 / 39.25 ± 2.16@@63.80,29.07 ± 0.11 / 32.54 ± 0.12@@29.07,8.29 ± 2.38 / 29.86 ± 2.02@@8.29,11.49 ± 1.86 / 55.70 ± 0.94@@11.49,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.94@@2.94,19.65,8030326784.0,128264.0,131072.0,✓,✗,47.52 ± 2.22 / 59.11 ± 1.07@@47.52,48.88 ± 1.81 / 29.31 ± 1.84@@48.88,9.32 ± 2.43 / 47.74 ± 2.26@@9.32,64.89 ± 2.41 / 42.84 ± 2.98@@64.89,25.91 ± 3.21 / 27.19 ± 3.63@@25.91,6.56 ± 1.33 / 29.90 ± 0.92@@6.56,11.55 ± 1.67 / 55.17 ± 0.77@@11.55,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.98@@2.98,0.11,32233522176.0,100278.0,65536.0,✗,✗,44.43 ± 1.88 / 60.62 ± 1.45@@44.43,45.01 ± 1.27 / 26.62 ± 1.92@@45.01,7.26 ± 1.65 / 52.93 ± 1.13@@7.26,66.10 ± 1.11 / 44.92 ± 1.08@@66.10,28.46 ± 0.29 / 30.70 ± 0.49@@28.46,4.09 ± 2.07 / 27.92 ± 1.67@@4.09,8.27 ± 1.45 / 54.13 ± 0.74@@8.27,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.99@@2.99,0.17,4300079472.0,262144.0,8192.0,✓,✗,53.25 ± 3.83 / 63.81 ± 4.24@@53.25,45.55 ± 2.10 / 31.16 ± 2.26@@45.55,18.16 ± 1.98 / 56.20 ± 2.13@@18.16,26.51 ± 3.42 / 5.19 ± 2.89@@26.51,30.76 ± 0.17 / 34.11 ± 0.16@@30.76,5.37 ± 2.50 / 27.82 ± 1.71@@5.37,12.85 ± 1.64 / 56.10 ± 0.89@@12.85,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.99@@2.99,N/A,9152319488.0,128000.0,4096.0,✓,✗,24.90 ± 2.20 / 29.29 ± 2.14@@24.90,42.09 ± 3.12 / 23.85 ± 2.01@@42.09,18.48 ± 5.63 / 43.76 ± 4.81@@18.48,66.75 ± 1.29 / 48.17 ± 1.50@@66.75,23.54 ± 3.28 / 24.01 ± 3.59@@23.54,16.64 ± 1.75 / 37.42 ± 1.41@@16.64,15.33 ± 1.26 / 57.18 ± 0.83@@15.33,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.15.0.dev0@@161500,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,3.02@@3.02,1.42,32233522176.0,100278.0,65536.0,✗,✗,45.63 ± 0.97 / 61.46 ± 0.93@@45.63,45.02 ± 1.27 / 25.57 ± 2.02@@45.02,8.12 ± 2.09 / 53.51 ± 1.23@@8.12,65.49 ± 1.20 / 42.54 ± 1.37@@65.49,28.14 ± 0.48 / 30.25 ± 0.68@@28.14,3.47 ± 1.85 / 26.38 ± 1.39@@3.47,8.77 ± 1.02 / 54.38 ± 0.48@@8.77,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,3.04@@3.04,N/A,8030261248.0,128256.0,131072.0,✓,✗,35.76 ± 3.09 / 48.10 ± 4.33@@35.76,47.61 ± 2.07 / 29.41 ± 1.70@@47.61,3.33 ± 2.89 / 36.06 ± 1.92@@3.33,70.34 ± 1.62 / 49.99 ± 2.10@@70.34,25.63 ± 1.71 / 27.26 ± 1.96@@25.63,6.66 ± 2.33 / 29.86 ± 1.42@@6.66,11.78 ± 1.81 / 55.19 ± 0.90@@11.78,16.5.0.dev0@@160500,16.0.1.dev0@@160001,16.5.0.dev0@@160500,16.0.1.dev0@@160001,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,3.05@@3.05,N/A,32233522176.0,100278.0,65536.0,✓,✗,44.10 ± 1.02 / 46.69 ± 0.62@@44.10,46.80 ± 1.56 / 28.85 ± 3.45@@46.80,3.93 ± 2.13 / 46.28 ± 3.45@@3.93,72.29 ± 0.82 / 53.14 ± 0.84@@72.29,25.78 ± 2.00 / 27.73 ± 2.41@@25.78,5.42 ± 1.66 / 26.74 ± 1.26@@5.42,5.25 ± 1.67 / 52.21 ± 0.96@@5.25,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,3.05@@3.05,15.24,3349227520.0,262144.0,500000.0,✗,✗,50.91 ± 3.21 / 62.24 ± 2.40@@50.91,42.36 ± 3.21 / 26.20 ± 1.85@@42.36,0.00 ± 0.00 / 32.75 ± 0.77@@0.00,63.45 ± 1.51 / 34.05 ± 1.35@@63.45,29.90 ± 0.18 / 33.02 ± 0.20@@29.90,0.59 ± 6.37 / 29.33 ± 4.52@@0.59,9.35 ± 3.36 / 51.56 ± 2.06@@9.35,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,3.06@@3.06,?,21511953984.0,201088.0,131072.0,✓,✗,55.05 ± 1.28 / 67.63 ± 0.95@@55.05,32.76 ± 1.88 / 28.20 ± 1.56@@32.76,15.95 ± 2.21 / 55.38 ± 1.39@@15.95,58.53 ± 0.88 / 39.25 ± 1.02@@58.53,18.02 ± 1.07 / 21.06 ± 1.25@@18.02,9.79 ± 2.29 / 30.94 ± 1.54@@9.79,27.63 ± 2.43 / 62.99 ± 1.17@@27.63,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.15.0.dev0@@161500,16.12.0.dev0@@161200,16.12.0.dev0@@161200
<a href='https://hf.co/google/gemma-4-26B-A4B'>google/gemma-4-26B-A4B (val)</a>,🧠,3.06@@3.06,N/A,25805936206.0,262144.0,8192.0,✓,✗,39.62 ± 2.82 / 55.57 ± 2.18@@39.62,37.48 ± 1.63 / 24.78 ± 1.26@@37.48,16.62 ± 2.88 / 56.81 ± 1.71@@16.62,70.19 ± 1.12 / 42.93 ± 1.88@@70.19,19.54 ± 1.63 / 19.94 ± 1.74@@19.54,9.06 ± 3.98 / 30.83 ± 2.94@@9.06,18.91 ± 2.12 / 59.22 ± 1.07@@18.91,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,3.07@@3.07,N/A,31577937344.0,131072.0,262144.0,✓,✗,40.98 ± 2.69 / 48.87 ± 2.25@@40.98,41.57 ± 1.76 / 24.47 ± 0.77@@41.57,1.22 ± 2.56 / 43.95 ± 1.94@@1.22,70.23 ± 0.67 / 49.18 ± 0.72@@70.23,22.60 ± 1.60 / 24.49 ± 1.84@@22.60,18.66 ± 2.95 / 37.00 ± 2.19@@18.66,2.18 ± 2.98 / 50.62 ± 1.63@@2.18,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/CohereLabs/tiny-aya-base'>CohereLabs/tiny-aya-base (val)</a>,🧠,3.08@@3.08,N/A,3349227520.0,262144.0,500000.0,✗,✗,43.10 ± 3.37 / 53.70 ± 3.74@@43.10,37.16 ± 5.32 / 26.60 ± 4.52@@37.16,8.88 ± 3.45 / 45.59 ± 5.15@@8.88,73.59 ± 1.56 / 50.32 ± 2.62@@73.59,27.86 ± 1.27 / 29.77 ± 1.47@@27.86,-1.30 ± 3.77 / 24.50 ± 3.16@@-1.30,9.11 ± 4.96 / 51.60 ± 2.40@@9.11,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,3.08@@3.08,?,31577934400.0,131072.0,262144.0,✓,✗,41.26 ± 1.51 / 54.40 ± 1.29@@41.26,46.16 ± 1.35 / 39.51 ± 1.49@@46.16,8.49 ± 1.89 / 46.82 ± 0.97@@8.49,56.32 ± 0.80 / 31.03 ± 1.12@@56.32,20.95 ± 0.22 / 25.50 ± 0.25@@20.95,10.05 ± 2.70 / 33.83 ± 1.86@@10.05,20.07 ± 2.52 / 60.16 ± 1.29@@20.07,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,3.10@@3.10,14.14,3349227520.0,262144.0,500000.0,✗,✗,51.02 ± 3.74 / 61.79 ± 2.60@@51.02,40.12 ± 3.37 / 24.89 ± 1.28@@40.12,0.00 ± 0.00 / 32.75 ± 0.77@@0.00,64.46 ± 1.43 / 36.07 ± 1.98@@64.46,30.05 ± 0.20 / 33.19 ± 0.21@@30.05,-0.39 ± 6.31 / 28.50 ± 4.81@@-0.39,7.23 ± 5.88 / 51.29 ± 2.50@@7.23,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0,16.16.1.dev0@@161601,16.16.1.dev0@@161601
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,3.11@@3.11,0.63,?,?,400000.0,✓,✗,46.11 ± 1.42 / 59.48 ± 1.09@@46.11,33.81 ± 1.16 / 17.77 ± 0.56@@33.81,17.83 ± 1.05 / 58.11 ± 0.53@@17.83,60.41 ± 0.76 / 29.34 ± 0.97@@60.41,26.96 ± 0.16 / 32.11 ± 0.17@@26.96,-0.42 ± 2.47 / 24.83 ± 2.01@@-0.42,6.56 ± 2.03 / 53.32 ± 1.06@@6.56,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,3.11@@3.11,N/A,4659861248.0,248044.0,8192.0,✓,✗,35.21 ± 1.34 / 36.00 ± 1.04@@35.21,50.13 ± 1.90 / 38.12 ± 1.47@@50.13,0.00 ± 0.00 / 33.86 ± 0.38@@0.00,75.36 ± 1.14 / 51.71 ± 1.59@@75.36,21.05 ± 1.19 / 21.76 ± 1.32@@21.05,3.03 ± 3.41 / 25.33 ± 2.42@@3.03,23.00 ± 2.37 / 60.51 ± 1.20@@23.00,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,3.11@@3.11,N/A,4300079472.0,262144.0,8192.0,✓,✗,49.48 ± 2.86 / 60.18 ± 3.71@@49.48,43.28 ± 2.46 / 28.35 ± 2.24@@43.28,0.13 ± 1.01 / 33.38 ± 0.42@@0.13,67.92 ± 1.03 / 47.72 ± 2.16@@67.92,22.18 ± 2.38 / 23.04 ± 2.73@@22.18,9.26 ± 2.16 / 33.16 ± 1.59@@9.26,5.42 ± 1.29 / 52.08 ± 0.81@@5.42,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,3.13@@3.13,10.66,2274067232.0,248044.0,8192.0,✓,✗,31.80 ± 4.29 / 44.27 ± 4.60@@31.80,39.09 ± 4.64 / 17.16 ± 1.26@@39.09,4.46 ± 4.79 / 38.82 ± 2.86@@4.46,63.37 ± 2.16 / 35.24 ± 2.23@@63.37,28.96 ± 0.41 / 32.29 ± 0.45@@28.96,6.97 ± 4.07 / 32.83 ± 3.30@@6.97,5.37 ± 6.17 / 53.16 ± 3.03@@5.37,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,3.14@@3.14,11.72,3191396096.0,100352.0,131072.0,✓,✗,42.69 ± 2.25 / 57.83 ± 2.02@@42.69,43.03 ± 1.76 / 31.84 ± 1.80@@43.03,4.43 ± 1.42 / 40.24 ± 2.48@@4.43,57.84 ± 1.65 / 37.25 ± 1.53@@57.84,28.64 ± 0.89 / 30.75 ± 1.05@@28.64,2.98 ± 2.01 / 27.04 ± 1.46@@2.98,2.74 ± 2.08 / 51.45 ± 0.97@@2.74,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.14.0.dev0@@161400,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,3.14@@3.14,1.74,30491811840.0,131072.0,262144.0,✓,✗,39.82 ± 1.35 / 53.23 ± 1.47@@39.82,47.63 ± 1.89 / 37.23 ± 1.09@@47.63,2.90 ± 2.81 / 41.63 ± 1.44@@2.90,51.08 ± 0.93 / 27.64 ± 0.92@@51.08,19.14 ± 0.37 / 23.85 ± 0.37@@19.14,10.57 ± 3.81 / 33.33 ± 3.02@@10.57,21.62 ± 2.71 / 60.94 ± 1.35@@21.62,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,3.14@@3.14,53.75,32233522176.0,100278.0,65536.0,✗,✗,45.94 ± 1.06 / 61.66 ± 0.92@@45.94,48.35 ± 1.20 / 28.24 ± 1.81@@48.35,6.75 ± 2.13 / 50.38 ± 3.26@@6.75,65.92 ± 1.58 / 47.29 ± 1.73@@65.92,18.44 ± 2.06 / 18.62 ± 2.21@@18.44,7.39 ± 1.59 / 28.06 ± 1.19@@7.39,9.06 ± 1.39 / 54.52 ± 0.71@@9.06,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,3.14@@3.14,?,32233522176.0,100278.0,65536.0,✗,✗,39.38 ± 1.14 / 56.03 ± 0.60@@39.38,46.56 ± 2.93 / 32.97 ± 2.34@@46.56,1.90 ± 2.60 / 37.59 ± 1.06@@1.90,55.63 ± 0.74 / 32.86 ± 1.38@@55.63,21.15 ± 1.33 / 22.44 ± 1.39@@21.15,4.64 ± 2.01 / 28.83 ± 2.00@@4.64,29.29 ± 2.79 / 64.73 ± 1.41@@29.29,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (val)</a>,📝,3.15@@3.15,0.04,5123178979.0,262144.0,8192.0,✓,✗,44.64 ± 1.97 / 58.77 ± 1.71@@44.64,33.28 ± 0.98 / 19.25 ± 0.93@@33.28,7.85 ± 2.24 / 53.47 ± 1.15@@7.85,63.92 ± 0.86 / 37.81 ± 1.34@@63.92,29.41 ± 0.17 / 32.81 ± 0.15@@29.41,-3.29 ± 2.26 / 23.67 ± 1.53@@-3.29,9.98 ± 3.02 / 55.04 ± 1.48@@9.98,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,3.16@@3.16,15.41,3402836480.0,100352.0,131072.0,✓,✗,48.08 ± 1.41 / 63.07 ± 1.09@@48.08,44.28 ± 1.45 / 23.69 ± 1.75@@44.28,0.71 ± 1.28 / 34.03 ± 0.54@@0.71,53.30 ± 2.58 / 32.61 ± 3.04@@53.30,28.88 ± 1.33 / 31.61 ± 1.58@@28.88,2.10 ± 2.39 / 26.80 ± 2.06@@2.10,2.33 ± 2.22 / 50.72 ± 0.97@@2.33,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,3.16@@3.16,?,26123974400.0,200192.0,131072.0,✗,✗,49.78 ± 1.58 / 63.32 ± 1.07@@49.78,32.46 ± 0.69 / 20.96 ± 0.53@@32.46,6.81 ± 2.49 / 51.56 ± 1.35@@6.81,57.53 ± 1.36 / 35.98 ± 1.30@@57.53,18.90 ± 0.81 / 23.21 ± 0.93@@18.90,9.32 ± 3.09 / 31.33 ± 2.46@@9.32,26.41 ± 2.21 / 63.20 ± 1.10@@26.41,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,3.18@@3.18,17.55,2031739904.0,151936.0,40960.0,✓,✗,41.80 ± 2.41 / 53.04 ± 3.20@@41.80,34.19 ± 2.04 / 20.06 ± 1.31@@34.19,7.13 ± 1.87 / 47.02 ± 3.68@@7.13,53.37 ± 1.38 / 33.34 ± 1.32@@53.37,29.57 ± 0.26 / 32.74 ± 0.29@@29.57,5.26 ± 2.48 / 26.76 ± 2.47@@5.26,3.19 ± 1.97 / 51.11 ± 0.87@@3.19,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,3.20@@3.20,?,4659861248.0,248044.0,8192.0,✓,✗,47.76 ± 1.82 / 60.96 ± 1.51@@47.76,14.16 ± 2.13 / 9.50 ± 1.35@@14.16,19.13 ± 2.40 / 52.17 ± 1.21@@19.13,30.62 ± 1.26 / 20.34 ± 1.27@@30.62,21.41 ± 0.45 / 23.16 ± 0.52@@21.41,6.34 ± 2.08 / 29.33 ± 1.81@@6.34,53.65 ± 2.21 / 76.45 ± 1.16@@53.65,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,3.24@@3.24,11.92,3212749824.0,128256.0,131072.0,✓,✗,43.63 ± 2.84 / 59.56 ± 2.33@@43.63,36.33 ± 2.37 / 22.03 ± 1.41@@36.33,4.03 ± 1.23 / 40.62 ± 3.20@@4.03,54.25 ± 1.21 / 33.38 ± 1.42@@54.25,28.97 ± 0.25 / 31.14 ± 0.37@@28.97,1.02 ± 1.82 / 24.70 ± 1.32@@1.02,2.90 ± 1.74 / 51.42 ± 0.78@@2.90,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,16.0.1.dev0@@160001,15.16.0.dev0@@151600
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (val)</a>,📝,3.24@@3.24,9.41,2614341888.0,256000.0,8192.0,✗,✗,38.78 ± 3.72 / 54.29 ± 3.62@@38.78,33.02 ± 4.97 / 17.57 ± 1.57@@33.02,4.83 ± 2.99 / 50.06 ± 1.91@@4.83,58.36 ± 1.54 / 30.88 ± 2.11@@58.36,29.19 ± 0.22 / 32.53 ± 0.24@@29.19,3.54 ± 2.60 / 24.17 ± 2.40@@3.54,-0.37 ± 4.29 / 49.14 ± 1.98@@-0.37,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,3.25@@3.25,?,13945031680.0,131072.0,8192.0,✓,✗,55.08 ± 1.47 / 66.33 ± 1.06@@55.08,46.26 ± 2.06 / 28.92 ± 1.30@@46.26,17.64 ± 2.43 / 57.82 ± 1.45@@17.64,77.98 ± 0.73 / 57.62 ± 1.05@@77.98,1.94 ± 1.05 / 2.14 ± 1.16@@1.94,7.74 ± 2.89 / 30.17 ± 2.21@@7.74,20.97 ± 2.38 / 60.16 ± 1.14@@20.97,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
